user_id,n_partidas,streak_max,taxa_vitoria,tempo_medio_seg,pct_manha,pct_newsletter,taxa_volta_dia_seguinte,device,reteve_d30,comecou_de_manha,sector,salary_range,age_range,company_size,orders_food_delivery
0036834641592af1,24,2,0.6666666666666666,283.2083333333333,1.0,0.0,0.041666666666666664,iOS,0,Manhã,,,,,
00408a184aeda9b1,32,2,0.875,259.15625,1.0,0.65625,0.25,Android,1,Manhã,finanças,R$4k-R$6k,35-44,média,True
006ebf544f052ea8,16,1,0.875,202.5625,1.0,0.6875,0.0,Android,0,Manhã,outros,acima de R$10k,45+,média,True
008b64b22c8c3d43,23,3,0.43478260869565216,264.2173913043478,0.0,0.0,0.17391304347826086,Android,0,Outro horário,educação,acima de R$10k,45+,pequena,True
00abfc1dd7778d70,31,4,0.8387096774193549,283.93548387096774,1.0,0.6129032258064516,0.25806451612903225,Android,0,Manhã,tech,acima de R$10k,25-34,multinacional,True
00f3b528c9a28fc1,60,4,0.85,250.36666666666667,1.0,0.6666666666666666,0.2833333333333333,Android,1,Manhã,tech,,,pequena,True
0103bc86e518a6e6,29,2,0.7931034482758621,264.0689655172414,1.0,0.7241379310344828,0.10344827586206896,iOS,0,Manhã,outros,R$6k-R$10k,,MEI/micro,False
015cdf7c949af151,42,2,0.35714285714285715,293.6190476190476,0.0,0.0,0.16666666666666666,iOS,1,Outro horário,outros,R$4k-R$6k,45+,média,False
015d2ca397a9aab2,40,2,0.525,284.175,0.0,0.0,0.1,iOS,1,Outro horário,,,,,
0162c568a0c3f7b2,55,3,0.7090909090909091,281.3090909090909,1.0,0.7090909090909091,0.18181818181818182,iOS,0,Manhã,tech,,25-34,multinacional,True
02134a50a8dd9be7,6,1,0.6666666666666666,257.6666666666667,0.0,0.0,0.0,Android,1,Outro horário,marketing,até R$2k,45+,média,False
021d2876845b0ab1,57,4,0.5263157894736842,256.1578947368421,0.0,0.0,0.3333333333333333,Android,0,Outro horário,,,,,
024d37d3dac7ac70,46,3,0.6521739130434783,313.60869565217394,0.0,0.0,0.15217391304347827,Android,0,Outro horário,tech,até R$2k,,multinacional,True
02c3c251f0f99a48,35,2,0.7142857142857143,271.3142857142857,1.0,0.7142857142857143,0.08571428571428572,iOS,0,Manhã,educação,,35-44,MEI/micro,True
02d81d767faef2c3,28,3,0.5357142857142857,245.85714285714286,0.0,0.0,0.17857142857142858,iOS,0,Outro horário,outros,R$2k-R$4k,35-44,MEI/micro,True
02f4650447d4a2e3,16,2,0.6875,336.75,1.0,0.8125,0.125,iOS,0,Manhã,outros,R$2k-R$4k,18-24,grande,True
0338e8d47a94cb30,26,2,0.6153846153846154,298.2307692307692,0.0,0.0,0.19230769230769232,iOS,0,Outro horário,tech,,,média,True
03577ca9a43ccb57,9,2,0.5555555555555556,239.88888888888889,1.0,0.5555555555555556,0.1111111111111111,iOS,1,Manhã,,,,,
037158b9da1ac2af,30,2,0.7333333333333333,280.56666666666666,1.0,0.5333333333333333,0.2,Android,1,Manhã,educação,R$2k-R$4k,25-34,média,True
039279ad8348a9f5,60,5,0.8833333333333333,296.56666666666666,1.0,0.75,0.2833333333333333,Android,0,Manhã,tech,,18-24,MEI/micro,True
03b3c80ee03b5f2c,36,4,0.6944444444444444,303.55555555555554,1.0,0.6944444444444444,0.2222222222222222,iOS,0,Manhã,,,,,
0452738e9948a83a,6,1,0.3333333333333333,250.66666666666666,0.0,0.0,0.0,Android,0,Outro horário,,,,,
045bf697e02373a2,36,4,0.6944444444444444,269.69444444444446,0.0,0.0,0.1111111111111111,Android,0,Outro horário,,,,,
04635aaf2d59584d,26,3,0.6538461538461539,329.1923076923077,0.0,0.0,0.19230769230769232,iOS,1,Outro horário,outros,R$4k-R$6k,25-34,média,True
0466df1de9a97b36,44,3,0.4772727272727273,245.5,0.0,0.0,0.2727272727272727,iOS,1,Outro horário,,,,,
04a37d948f2c5cf4,45,4,0.7333333333333333,244.9111111111111,1.0,0.0,0.24444444444444444,Android,0,Manhã,,,,,
04de9e9a25caffea,8,1,0.625,362.5,0.0,0.0,0.0,Android,0,Outro horário,varejo,R$6k-R$10k,35-44,pequena,True
04eae71502c82e20,40,3,0.625,244.275,1.0,0.625,0.25,iOS,0,Manhã,finanças,R$6k-R$10k,25-34,pequena,True
050c35019a14e109,16,2,0.375,298.4375,0.0,0.0,0.0625,Android,0,Outro horário,,,,,
051a1550062c4924,29,2,0.5517241379310345,263.13793103448273,0.0,0.0,0.1724137931034483,iOS,0,Outro horário,tech,,,grande,True
0554aab233d1158d,15,2,0.8,251.26666666666668,1.0,0.8666666666666667,0.2,iOS,0,Manhã,,,,,
05558efc5ada8459,22,2,0.5,262.8636363636364,0.0,0.0,0.09090909090909091,Android,0,Outro horário,marketing,,18-24,multinacional,True
059a64a29a4f3aaf,40,2,0.65,258.4,1.0,0.775,0.2,iOS,0,Manhã,educação,R$6k-R$10k,35-44,média,True
